,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
samplePrepProtocol,samplePrepProtocol,SamplePrepProtocol,An internet address that may provide more details of the protocol information (web link),False,,,,Proteomics
specifyMeasurementTechnique,specifyMeasurementTechnique,SpecifyMeasurementTechnique,Value is determined by the data contributor,False,,,,Proteomics
msAnalyzerTypeMS1,msAnalyzerTypeMS1,MsAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",True,,"['Q Exactive', 'Orbitrap Fusion Lumos', 'Exploris 240Exploris 480quadrupole time-of-flight', 'triple quadrupole', 'Unknown', 'Q Exactive HF-X', 'Xevo TQ-S', 'Not Specified', 'Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1', 'Xevo G2 QTOF', 'Q Exactive HF', 'LTQ Orbitrap XL', 'Not applicable', 'Orbitrap Fusion', 'Q Exactive Plus', 'time-of-flight', 'Not collected']",,Proteomics
specifyMSAnalyteType,specifyMSAnalyteType,SpecifyMSAnalyteType,Value is determined by the data contributor,False,,,,Proteomics
msAnalyteType,msAnalyteType,MsAnalyteType,the type of biospecimen subjected to analysis,False,,"['Protein', 'Not Specified', 'Other', 'Unknown', 'metabolite', 'Not applicable', 'Lipid', 'Not collected', '']",,Proteomics
fractionIdentifier,fractionIdentifier,FractionIdentifier,"Identifier string that describes the sample fraction. This identifier should contain the fraction number(s) or similar information. (It MUST start from 1; if the experiment is not fractionated, 1 MUST be used for each MSRun (assay).",True,,,,Proteomics
specifyDatabaseSource,specifyDatabaseSource,SpecifyDatabaseSource,Value is determined by the data contributor,False,,,,Proteomics
specifyProteomicsAssayType,specifyProteomicsAssayType,SpecifyProteomicsAssayType,Value is determined by the data contributor,False,,,,Proteomics
cleavageAgents,cleavageAgents,CleavageAgents,Name(s) of the enzyme used,True,,,,Proteomics
digestionMethod,digestionMethod,DigestionMethod,"The type of digestion - in-solution, in-gel, etc. (ex. ""in-gel digestion"")",True,,"['', 'in-solution', 'OtherDigestionMethod', 'Unknown', 'Not applicable', 'in-gel', 'Not collected']",,Proteomics
specifyOtherModificationParameters,specifyOtherModificationParameters,SpecifyOtherModificationParameters,Value is determined by the data contributor,False,,,,Proteomics
databaseWeblink,databaseWeblink,DatabaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs who generate their own search method",False,,,,Proteomics
msAnalyzerTypeMS2,msAnalyzerTypeMS2,MsAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",True,,"['Q Exactive', 'Orbitrap Fusion Lumos', 'Exploris 240Exploris 480quadrupole time-of-flight', 'triple quadrupole', 'Unknown', 'Q Exactive HF-X', 'Xevo TQ-S', 'Not Specified', 'Xevo G2 QTOF', 'Q Exactive HF', 'Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2', 'LTQ Orbitrap XL', 'Not applicable', 'Orbitrap Fusion', 'Q Exactive Plus', 'time-of-flight', 'Not collected']",,Proteomics
msInstrumentModel,msInstrumentModel,MsInstrumentModel,The model of the mass spectrometer  used,True,,,,Proteomics
acquisitionMode,acquisitionMode,AcquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).",True,,"['Not applicable', 'Unknown', 'Not Specified', 'Not collected']",,Proteomics
dataFile,dataFile,DataFile,"The data file provides the name of the raw file generated by the instrument. The data files can be instrument raw files but also converted peak lists such as mzML, MGF or result files like mzIdentML.",True,,"['Not applicable', 'Unknown', 'Not Specified', 'Not collected']",,Proteomics
acquisitionSoftware,acquisitionSoftware,AcquisitionSoftware,The name of the acquisition software used,True,,"['Not applicable', 'Unknown', 'Not Specified', 'Not collected']",,Proteomics
specifyMSAssayTechnique,specifyMSAssayTechnique,SpecifyMSAssayTechnique,Value is determined by the data contributor,False,,,,Proteomics
modificationParameters,modificationParameters,ModificationParameters,Modification parameters for the search engine run. [ PSI: PI http://www.w3.org/2002/07/owl#Axiom ],True,,,,Proteomics
Component,Component,Component,TBD,False,,,,Proteomics
specifySampleType,specifySampleType,SpecifySampleType,Value is determined by the data contributor,False,,,,Proteomics
sampleType,sampleType,SampleType,The type of sample collected,True,,"['Small intestine', 'DNA', 'B cell', 'Nasal lavage fluid', 'Cervical lymph nodes', 'Brachial lymph node', 'Bone', 'NK cell', 'Ileum', 'Dried Blood Spot', 'brain', 'PBMC', 'Osteoblasts', 'Vagina', 'Umbilical cord blood', 'PBL', 'Cell culture supernatant', 'Breast Milk', 'Endotracheal aspirate', 'Tumor Tissue', 'Jejunum', 'Nasopharyngeal Swab Specimen', 'Trachea', 'Leukocytes', 'Stomach', 'Cerebrospinal Fluid', 'Epithelium', 'Urinary bladder', 'Dermis', 'Popliteal lymph node', 'Synovial fluid', 'Protein', 'Synovial tissue', 'Fibroblast', 'Appendix', 'Bronchoalveolar Lavage Fluid', 'Optic Nerve', 'Pooled Sample', 'Feces', 'Carbohydrate', 'Red Blood Cell', 'Lymph node', 'Urine', 'Dendritic cell', 'Oropharyngeal Swab Specimen', 'Cord blood', 'Kidney', 'Nasal Swab or Nose Specimen', 'Placenta', 'Lung', 'Liver', 'Mesenteric lymph node', 'Nasal Swab', 'Amniotic Fluid', 'Lymphocyte', 'Pancreatic Stellate Cells', 'OtherSampleType', 'Salivary Glands', 'Plasma', 'Saliva', 'cell line', 'Spleen', 'Sputum', 'Negative Control', 'Organoids', 'Not Specified', 'Gastric lamina propria', 'Inguinal lymph node', 'Macrophage', 'Positive Control', 'Rectal Swab Specimen', 'Serum', 'Whole blood', 'Bone Marrow', 'Thymus', 'Basophils', 'Lung lymph node', 'Convalescent Plasma', 'Colon', 'Colonic Lamina Propria', 'Skin of body', 'Mouse Ear', 'Pancreas', 'Neutrophil', 'Monocyte', 'Tonsil', 'T cell', 'Lipid']",,Proteomics
specifyMSAnalyzerTypeMS1,specifyMSAnalyzerTypeMS1,SpecifyMSAnalyzerTypeMS1,Value is determined by the data contributor,False,,,,Proteomics
specifyMSAnalyzerTypeMS2,specifyMSAnalyzerTypeMS2,SpecifyMSAnalyzerTypeMS2,Value is determined by the data contributor,False,,,,Proteomics
fragmentMassTolerance,fragmentMassTolerance,FragmentMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",True,,,,Proteomics
specifyDigestionMethod,specifyDigestionMethod,SpecifyDigestionMethod,Value is determined by the data contributor,False,,,,Proteomics
specimenID,specimenID,SpecimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",True,,,,Proteomics
databaseSource,databaseSource,DatabaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",False,,"['Not Specified', 'OtherDatabaseSource', 'Unknown', 'Not applicable', 'Not collected', '']",,Proteomics
protoemicsAssayType,protoemicsAssayType,ProtoemicsAssayType,Type of peptide quantification used (ex. Label Free),True,,"['Label Free', 'SILAC', 'Other', 'Unknown', 'TMT', 'ITRAQ', 'Not applicable', 'Targeted Absolute Quantitation', 'Not collected']",,Proteomics
msTarget,msTarget,MsTarget,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,True,,"['TargetedMsTarget', 'Not Specified', 'Unknown', 'UnTargetedMsTarget', 'Not applicable', 'Not collected']",,Proteomics
specifyMSInstrumentModel,specifyMSInstrumentModel,SpecifyMSInstrumentModel,Value is determined by the data contributor,False,,,,Proteomics
Filename,Filename,Filename,Name of the file. This helps to link annotations from metadata files.,True,,,,Proteomics
precursorMassTolerance,precursorMassTolerance,PrecursorMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",True,,,,Proteomics
nucleicAcidSource,nucleicAcidSource,NucleicAcidSource,"Specifies the type of nucleic acid (DNA, RNA, Pooled, etc.) found in a sample.",True,,"['sorted cells', 'bulk nuclei', 'bulk cell', 'sorted nuclei', 'Other', 'Unknown', 'single nucleus', 'mitochondria', 'Not applicable', 'single cell', 'Not collected']",,Biospecimenhuman
tissue,tissue,Tissue,Indicate the tissue the specimen is from,True,,"['Laryngeal Mucosa', 'Prostatic Muscular Tissue', 'Ependyma and Remnants of the Central Canal of the Spinal Cord', 'Brain Gray Matter', 'Lymph Node Cortex', 'Posterior Pigment Epithelium', 'Mucosa of the Lower Lip', 'Bronchus-Associated Lymphoid Tissue', 'Visceral Pleura', 'Non-Valve Cardiac Conduit Tissue', 'Gastric Tissue', 'Small Intestinal Submucosa', 'Thymic Lobule', 'Tunica Intima', 'Connective Tissue', 'Bronchus Elastic Tissue', 'Trachea Lamina Propria', 'Retinal Pigment Epithelium', 'Glomerular Basement Membrane', 'Ganglionic Layer of the Cerebral Cortex', 'Aorta Endothelium', 'Secondary Tympanic Membrane', 'Ganglion Cell Layer', 'Sheath of Schwann', 'Prostatic Duct Tissue', 'Spinal Meninges', 'Membrane', 'Endosteum', 'Reproductive Tissue', 'Cerebellum White Matter', 'External Elastic Membrane', 'Visceral Striated Muscle Tissue', 'Cerebral Meninges', 'Inner Membrane Amniotic Membrane Tissue', 'Nasal Mucosa', 'Tracheal Epithelium', 'Penis Erectile Tissue', 'Vaginal Squamous Epithelium', 'Serosa', 'Paranasal Sinus Epithelium', 'Meninges', 'Transitional Zone of the Prostatic Parenchyma', 'Inner Plexiform Layer', 'Intestinal Serosal Surface', 'Spinal Cord Dura Mater', 'Submucosa', 'Myocardium', 'Cortical Bone', 'Arterial System Smooth Muscle Tissue', 'Vena Cava Endothelium', 'Cervix Glandular Epithelium', 'Non-Cellular Component', 'Gingival Epithelium', 'Peyer Patch Lymphoid Follicle', 'Fourth Ventricle Ependyma', 'Oral Mucosa', 'Prostatic Tissue', 'Enamel', 'Demineralized Bone Tissue', 'Alveolar Septum', 'Inner Limiting Membrane', 'Membrane of the Brain or Spinal Cord', 'Mucosa', 'Cuboidal Epithelium', 'Uterus Serosal Surface', 'Lymphatic Vessel Endothelium', 'Tonsillar Lymphoid Tissue', 'Left Lung Alveolar Duct', 'Pigment Epithelium', 'Fibrocartilage', 'Liver Acinus', 'Lymph Node Subcapsular Sinus', 'Lymph Node Medullary Portion', 'Small Intestinal Muscularis Mucosa', 'Abdominal Peritoneum', 'Laryngeal Epithelium', 'Artery Endothelium', 'Splenic Trabecula', 'Trachea Basement Membrane', 'Endometrial Tissue', 'Hepatobiliary Tissue', 'Arteriole Smooth Muscle Tissue', 'Paratesticular Soft Tissue', 'Brain Arachnoid Membrane', 'Gallbladder Smooth Muscle Tissue', 'Extracapsular Tissue', 'Pseudostratified Columnar Epithelium', 'Islet of Langerhans', 'Esophageal Tissue', 'Gut-Associated Lymphoid Tissue', 'Thyroid Gland Epithelial Tissue', 'Adipose Tissue', 'Peripheral Nerve Sheath', 'Bronchus Connective Tissue', 'Corpus Callosum', 'Simple Columnar Epithelium', 'Gastric Submucosa', 'Pyramid of Ferrein', 'Epidermis', 'Hepatic Sinusoid', 'Large Intestinal Lamina Propria', 'Placenta Tissue without Amniotic Elements', 'Lamina Propria', 'Arteriole Endothelium', 'Outer Nuclear Layer', 'Cementum', 'Hematopoietic and Lymphoid Tissue', 'Internal Granular Layer of the Cerebellum', 'Small Intestinal Mucosa', 'Nasal Cavity Epithelium', 'Germinal Center', 'Perineural Tissue', 'Perisinusoidal Space', 'Pancreatic Acinus', 'Tunica Adventitia', 'Esophageal Epithelium', 'Blood Vessel Endothelium', 'Embryonic Connective Tissue', 'Thyroid Gland Follicle', 'Bronchus Basement Membrane', 'Endocervical Glandular Epithelium', ""Hassall's Corpuscle"", 'Nerve Sheath', 'Ovarian Cortex', 'Papillary-Reticular Dermal Interface', 'Dental Pulp', 'Internal Elastic Membrane', 'Venule Endothelium', 'Artery Smooth Muscle Tissue', 'Splenic Pulp', 'Suprachorioid Lamina', 'Portal Lobule', 'Corneal Endothelium', 'Genital Tubercle', 'Extracellular Matrix', 'Urachal Epithelium', 'Pyramid of Malpighi', 'Gut Epithelium', 'Mediastinal Pleura', 'Esophageal Muscularis Mucosa', 'Ovarian Surface Epithelium', 'Ocular Tissue', 'Endoneurium', 'Gastric Mucosa', 'Esophageal Serosal Surface', 'Alveolar Duct', 'Crypt Epithelium', 'Spinal Cord Arachnoid Membrane', 'Molecular Layer of the Cerebellum', 'Endothelium', 'Bladder Mucosa', 'Lactiferous Duct', 'Gallbladder Serosal Surface', 'Marginal Zone', 'Reticular Dermis', 'Mammary Epithelium', 'Papillary Dermis', 'Laryngeal Connective Tissue', 'Parathyroid Gland Follicle', 'Tympanic Membrane', 'Pseudostratified Epithelium', 'Tunica Media', 'Transitional Epithelium', 'Inner Enamel Epithelium', 'Seminal Vesicle Epithelium', 'Adrenal Medulla', 'Rathke Pouch Epithelium', 'Endocrine Reproductive Tissue', 'Pleura', 'Purkinje Cell Layer of the Cerebellum', 'Gray Matter of the Spinal Cord', 'Seminiferous Epithelium', 'Mesonephric Remnants', 'Ciliary Epithelium', 'Splenic Marginal Sinus', 'Thymic Epithelial Tissue', 'Renal Tubule Basement Membrane', 'Substantia Nigra', 'Upper Gingiva', 'Molecular Layer of the Cerebral Cortex', 'Juxtaglomerular Apparatus', 'Bladder Lamina Propria', 'Multiform Cell Layer of the Cerebral Cortex', 'and Nerve Sheaths', 'Paraxial Mesoderm', 'Right Lung Alveolar Duct', 'Lymphoid Tissue', 'Pseudostratified Columnar Ciliated Epithelium', ""Descemet's Membrane"", 'Nasal Soft Tissue', 'Gingival Mucosa', 'White Matter of the Spinal Cord', 'Vascular Smooth Muscle Tissue', 'Nerve Tissue', 'Muscularis Mucosa', 'Lymphoid Follicle', 'Nodular Parenchymal Tissue', 'Bronchus Lamina Propria', 'Oropharyngeal Tissue', 'Palpebral Conjunctiva', 'Respiratory Bronchiole Epithelium', 'Oropharyngeal Lymphoid Tissue', 'Dura Mater', 'Hematopoietic Tissue', 'Conjunctival Epithelium', 'Large Intestinal Muscularis Mucosa', 'Myelin Sheath', 'Gastric Muscularis Mucosa', 'Urothelium', 'Granular Layer of the Cerebellum', 'Bladder Urothelium', 'Germinative Follicular Epithelium', 'Inner Nuclear Layer', 'Mucosa-Associated Lymphoid Tissue', 'Meningeal Layer of the Dura Mater', 'Terminal Ductal Lobular Unit', 'Germinal Layer', 'Renal Tubule Epithelium', 'Thymic Tissue', 'Interfollicular Area of the Lymph Node', 'Buccal Mucosa', 'Cerebral White Matter', 'Intraparenchymal', 'Alveolar Epithelium', 'Epithelial Tissue', 'Peripheral Zone of the Prostatic Parenchyma', 'Bronchiole Epithelium', 'Other', 'Choroid Plexus Epithelium', 'Brain White Matter', 'Esophageal Mucosa', 'Large Intestinal Muscular Coat', 'Thyroid Gland Tissue', 'Bone Matrix', 'Odontogenic Tissue', 'Spinal Cord Pia Mater', 'Smooth Muscle Tissue', 'Dermo-Epidermal Junction', 'Portal Triad', 'Peritoneum', 'Stroma', 'Esophageal Squamous Epithelium', 'Ovarian Medulla', 'Neural Retina', 'Bronchial Epithelium', 'Renal Pyramid', 'Prepuce Epithelium', 'Aorta Smooth Muscle Tissue', 'Squamous Epithelium', 'Bronchus Smooth Muscle Tissue', 'Thymus Cortex', 'Columnar Epithelium', 'Superficial Myometrium', 'Endothelium of the Glomerular Capillary', 'Stratified Epithelium', 'Parathyroid Gland Epithelial Tissue', 'Mucous Connective Tissue', 'Iliotibial Band', 'Cervix Epithelium', 'Medullary Bone', 'Pulmonary Lobule', 'Neuropil', 'Venous System Endothelium', 'Periosteum', 'Ciliated Respiratory Mucosa', 'Esophageal Lamina Propria', 'Fascicle', 'Heart Valve Tissue', 'Dermis', 'Choroid', 'Salivary Gland Tissue', 'Urethra Epithelium', 'Lateral Ventricle Ependyma', 'Duodenal Mucosa', 'Bone Tissue', 'Parathyroid Gland Tissue', 'Brain Dura Mater', 'Cartilage Matrix', 'Choroid Plexus Epithelium of the Lateral Ventricle', 'Loose Connective Tissue', 'Mesothelium', 'Bile Duct Epithelium', 'Bone Trabeculae', 'Accessory Tissue', 'Nephron', 'Neuroectoderm', 'Splenic Cord', 'Vaginal Epithelium', 'Subserosa', 'Outer Plexiform Layer', 'Leptomeninges', 'Small Intestinal Serosal Surface', 'External Pyramidal Cell Layer of the Cerebral Cortex', 'Fibrous Tissue', 'Myometrium', 'Bladder Muscular Coat', 'Lymphatic Vessel Smooth Muscle Tissue', 'Conjunctiva', 'Intestinal Mucosa', 'Irregular Dense Connective Tissue', 'Basilar Membrane of the Membranous Canal of the Cochlea', 'Periurethral Zone of the Prostatic Parenchyma', 'Bronchus Submucosa', 'Endometrium', 'Membrane of Reissner', 'Urethra Urothelium', 'Embryonic Tissue', 'Hepatic Lobule', 'Lymph Node Germinal Center', 'Bladder Muscularis Mucosa', 'Splenic Sinus', 'Soft Tissue', 'Arterial System Endothelium', 'Tongue Epithelium', 'Pineal Parenchyma', 'Mantle Zone', 'Mature Bone', 'Nerve Tissue and Nerve Sheaths', 'Olfactory Epithelium', 'Hepatic Tissue', 'Synovial Membrane', 'Intestinal Epithelium', 'Perforating Canal', 'Epineurium', 'Joint Capsule', 'Splenic Marginal Zone', 'Splenic Tissue', 'Dense Connective Tissue', 'Lamella of Harvesian System', 'Trachea Submucosa', 'Ventricular Wall of the Heart', 'Periodontium', 'Mesenchyme', 'Stratified Columnar Epithelium', 'Large Intestinal Mucosa', 'Small Intestinal Lamina Propria', 'Adrenal Gland Tissue', 'Anal Mucosa', 'Outer Enamel Epithelium', 'Stratified Squamous Epithelium', 'Parametrium', 'Cortical Cell Layer of the Cerebral Cortex', 'Vein Endothelium', 'Nasopharynx Epithelium', 'Pericardium', 'Perineurium', 'Gallbladder Epithelium', 'Simple Cuboidal Epithelium', 'Venous System Smooth Muscle Tissue', 'Gastric Muscular Coat', 'Tongue Skeletal Muscle Tissue', 'Fat Pad', 'Surface Ectoderm', ""Bowman's Membrane"", 'Efferent Ductule Epithelium', 'Esophageal Muscular Coat', 'External Granular Layer of the Cerebral Cortex', 'Bile Duct Tissue', 'Nasal Cavity Respiratory Epithelium', 'Thymic Trabecula', 'Renal Cortex', 'Neuroepithelial Tissue', 'Peyer Patch Germinal Center', 'Breast Fibroglandular Tissue', 'Intestinal Wall Tissue', 'Small Intestinal Muscular Coat', 'Brown Adipose Tissue', 'Retina Layer', 'Gubernaculum Testis', 'Connective Tissue Component of the Peripheral Nerve', 'Seminiferous Tubule', 'Connective and Soft Tissue', 'Ovarian Tissue', 'Splenic Red Pulp', 'Duct Salivary Gland System', 'Gallbladder Lamina Propria', 'Endocervical Mucosa', 'Immature Bone', 'Small Intestinal Wall Tissue', 'Deep Gray Matter', 'Odontogenic Epithelium', 'Digestive System Lamina Propria', 'Acinar Salivary Gland System', 'Cervix Squamous Epithelium', 'Dermal Papilla', 'Subependymal Tissue', 'Lymph Node Tissue', 'Intermediate Mesoderm', 'Waldeyer Ring', 'Layer of the Rods and Cones', 'Mammary Gland Tissue', 'Extrahepatic Bile Duct Epithelium', 'Bladder Tissue', 'Blood Vessel Tissue', 'Peyer Patch', 'Mediastinal Soft Tissue', 'Epithelium', 'Oral Cavity Epithelium', 'Large Intestinal Serosal Surface', 'Subcutis', 'Simple Squamous Epithelium', 'Alveolar Sac', 'Classic Lobule', 'Terminal Bronchiole Epithelium', 'Simple Epithelium', 'Gray Matter', 'Lung Tissue', 'Remnants of the Notochord', 'Mesangium', 'Oropharynx Epithelium', 'Remnants of the Central Canal of the Spinal Cord', 'Gingiva', 'Tonsillar Tissue', 'Renal Pelvis Urothelium', 'Thymic Lymphoid Tissue', 'Not collected', 'Hyaline Cartilage', 'Vascular Endothelium', 'Mucosa of the Upper Lip', 'Cortical Cell Layer of the Cerebellum', 'Bladder Serosal Surface', 'Muscle Layer', 'Dentin', 'Basilar Membrane', 'Fibroadipose Tissue', 'Striated Muscle Tissue', 'White Matter', 'Choristoma', 'Arachnoid Membrane', 'Lateral Mesoderm', 'Serosal Surface of the Liver', 'Unknown', 'Germinal Epithelium', 'Corneal Epithelium', 'Mesoderm', 'Parietal Pleura', 'Pelvic Peritoneum', 'Haversian System', 'Ectoderm', 'Splenic Germinal Center', 'Periarteriolar Lymphoid Sheath', 'Foramen Apicis Dentis', 'Prostatic Stroma', 'Haversian Canal', 'White Adipose Tissue', 'Osteoid', 'Glandular Epithelial Tissue', 'Lymph Node Sinus', 'Endoderm', 'Lower Gingiva', 'Large Intestinal Submucosa', 'Umbilical Cord Tissue', 'Regular Dense Connective Tissue', 'Brain Pia Mater', 'Gastric Serosal Surface', 'Capillary Endothelium', 'Renal Medulla', 'Prefrontal Cortex', 'Marginal Zone of the Lymph Node', 'Ependyma', 'Eyelid Connective Tissue', 'Skin Tissue', 'Vas Deferens Epithelium', 'Muscle Tissue', 'Testicular Tissue', 'Renal Interstitial Tissue', 'Ductal Epithelium', 'Subcapsular Epithelium of the Lens', 'Tympanic Epithelium', 'Intestinal Smooth Muscle Tissue', 'Outer Limiting Membrane', 'Splenic White Pulp', 'Cardiac Tissue', 'Central Zone of the Prostatic Parenchyma', 'Thymus Medulla', 'Episclera', 'Olfactory Mucosa', 'Trachea Smooth Muscle Tissue', 'Colonic Mucosa', 'Glandular Epithelium', 'Mucosa of the Lip', 'Cartilaginous Tissue', 'Layer of the Ophthalmic Nerve Fibers', 'Skeletal Muscle Tissue', 'Neuroendocrine Tissue', 'Lymph Node Lymphoid Follicle', 'Internal Granular Layer of the Cerebral Cortex', 'Splenic Lymphoid Follicle', 'Pia Mater', 'Connective Tissue Proper', 'Not applicable', 'Parenchyma', 'Prostatic Epithelium', 'Periorbital Soft Tissue', 'Oropharyngeal Soft Tissue', 'Ectocervical Mucosa', 'Tectorial Membrane', 'Canalis Radicis Dentis', 'Cortical Cell Layer', 'Renal Tissue', 'Odontogenic Ectomesenchyme', 'Bulbar Conjunctiva', 'Choroid Plexus Epithelium of the Fourth Ventricle', 'Eyelid Subcutaneous Connective Tissue', 'Stratified Cuboidal Epithelium', 'Large Intestinal Wall Tissue', 'Adrenal Cortex', 'Elastic Cartilage', 'Lymph Node Trabecula', 'Intrahepatic Bile Duct Epithelium', 'Basement Membrane']",,Biospecimenhuman
specimenType,specimenType,SpecimenType,Type of biological material comprising the Specimen,True,,"['Urine', 'tissue', 'blood', 'organoid', 'Other', 'Unknown', 'Serum', 'Plasma', 'swabs', 'Not collected', 'stool', 'Cerebrospinal Fluid (CSF)', 'Not applicable', 'Saliva', 'Sputum']",,Biospecimenhuman
